Threads,Serial,Parallel

4,1.1691E-02,4.6700E-03
6,1.1365E-02,6.0590E-03
8,1.1851E-02,5.9230E-03
10,1.1859E-02,7.6250E-03
12,1.1528E-02,6.0010E-03
14,1.1881E-02,5.6050E-03
16,1.1269E-02,5.7950E-03
18,1.2237E-02,7.0830E-03
20,1.0927E-02,7.3650E-03
