Threads,Serial,Parallel
4,10097000,4582300
6,10688900,5840000
8,10605100,5508100
10,10029600,7645200
12,10820600,4925800
14,11317600,7974100
16,11719500,5848400
18,11640200,8966900
20,12065000,6841900
